name,calories,carbs,fat,category
Original Bacon Double Cheeseburger,760,45,45,Burgers
Coney (Chili) Dog,340,26,20,Entrees
Chili Fries,370,49,15,French Fries
Strawberry Milkshake (small),670,90,29,Shakes
A&W® Root Beer Freeze (large),820,150,18,Shakes
Caramel Sundae,340,57,9,Desserts
Strawberry Banana Smoothee,420,86,6,Shakes
Chocolate Fudge Blendrrr,1010,152,59,Desserts
Strawberry Limeade,420,105,0,Drinks
Watermelon Slushee,270,73,0,Drinks
Lime Slushee,480,119,0,Drinks
A&W® Root Beer,880,232,0,Drinks
Cheeseburger,420,37,21,Burgers
French Fries (Regular),310,45,12,French Fries
Cheese Curds (Large),1140,54,80,Sides
Chocolate Milkshake (small),700,100,29,Shakes
Orange Freeze (small),450,108,8,Shakes
A&W® Diet Root Beer Float (small),170,30,5,Shakes
Strawberry Smoothee,610,121,10,Shakes
Limeade,140,38,0,Drinks
Cherry Limeade,340,90,0,Drinks
Lemon Slushee,330,82,0,Drinks
Blue Raspberry Slushee,570,142,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Grilled Chicken Sandwich,400,31,15,Chicken
French Fries (Large),430,61,17,French Fries
Chili,190,22,6,Sides
Chocolate Milkshake (medium),880,125,36,Shakes
Orange Freeze (medium),600,142,10,Shakes
A&W® Diet Root Beer Float (medium),170,30,5,Shakes
Orange Float (large),610,137,9,Shakes
Reese's® Peanut Butter Fudge Blendrrr,700,103,41,Desserts
Limeade,210,55,0,Drinks
Cherry Limeade,530,138,0,Drinks
Lemon Slushee,440,110,0,Drinks
Blue Raspberry Slushee,740,182,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Original Double Cheeseburger,680,44,38,Burgers
Coney (Chili) Cheese Dog,380,28,23,Entrees
Breaded Onion Rings (Regular),350,45,16,Sides
Strawberry Milkshake (medium),840,113,36,Shakes
A&W® Diet Root Beer Freeze (small),260,39,8,Shakes
A&W® Root Beer Float (small),330,70,5,Shakes
Strawberry Banana Smoothee,680,137,10,Shakes
Oreo® Cookies & Cream Blendrrr,340,56,12,Desserts
Strawberry Limeade,560,143,0,Drinks
Watermelon Slushee,360,99,0,Drinks
Lime Slushee,770,188,0,Drinks
A&W® Root Beer,1760,464,0,Drinks
Papa Single Burger,470,38,25,Burgers
Hot Dog (plain),310,23,19,Entrees
Cheese Fries,390,50,18,French Fries
Reese's® Polar Swirl®,740,97,31,Desserts
A&W® Root Beer Freeze (medium),480,89,10,Shakes
Hot Fudge Sundae,350,54,11,Desserts
Strawberry Banana Smoothee,390,78,6,Shakes
Chocolate Fudge Blendrrr,560,92,32,Desserts
Strawberry Limeade,290,75,0,Drinks
Cherry Slushee,900,224,0,Drinks
Lime Slushee,380,94,0,Drinks
A&W® Root Beer,440,116,0,Drinks
Original Bacon Cheeseburger,530,39,30,Burgers
Cheese Dog,350,26,22,Entrees
Breaded Onion Rings (Large),480,62,27,Sides
Vanilla Milkshake (small),720,97,31,Shakes
A&W® Diet Root Beer Freeze (medium),340,53,10,Shakes
A&W® Root Beer Float (medium),350,77,5,Shakes
Strawberry Smoothee,360,70,6,Shakes
Oreo® Cookies & Cream Blendrrr,430,72,15,Desserts
Cherry Limeade,190,51,0,Drinks
Watermelon Slushee,460,124,0,Drinks
Blue Raspberry Slushee,270,67,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Hamburger,380,33,19,Burgers
French Fries (Small/ Kids),200,28,8,French Fries
Cheese Curds (Regular),570,27,40,Sides
Vanilla Milkshake (medium,900,121,39,Shakes
A&W® Diet Root Beer Freeze (large),600,92,18,Shakes
A&W® Root Beer Float (large),640,136,10,Shakes
Strawberry Smoothee,370,74,6,Shakes
Oreo® Cookies & Cream Blendrrr,650,109,21,Desserts
Cherry Limeade,300,79,0,Drinks
Watermelon Slushee,720,197,0,Drinks
Blue Raspberry Slushee,370,91,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Chicken Strips- 3 pieces,500,32,29,Chicken
Corn Dog Nuggets® (Regular),280,32,13,Sides
M&M's® Polar Swirl®,710,107,25,Desserts
Vanilla Cone (large),260,41,7,Desserts
Strawberry Sundae,300,47,8,Desserts
Pineapple Banana Smoothee,480,104,6,Shakes
Reese's® Peanut Butter Fudge Blendrrr,1360,203,79,Desserts
Limeade,390,103,0,Drinks
Cherry Slushee,450,112,0,Drinks
Lemon Slushee,890,221,0,Drinks
A&W® Root Beer,220,58,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Crispy Chicken Sandwich,550,52,25,Chicken
Corn Dog Nuggets® (Small/ Kids),180,20,8,Sides
Extra Burger Patty,170,2,12,Sides
Vanilla Cone (regular),200,32,5,Desserts
Orange Freeze (medium),970,223,18,Shakes
A&W® Diet Root Beer Float (large),350,60,10,Shakes
Pineapple Banana Smoothee,400,85,6,Shakes
Reese's® Peanut Butter Fudge Blendrrr,710,108,41,Desserts
Limeade,250,66,0,Drinks
Cherry Slushee,330,83,0,Drinks
Lemon Slushee,560,139,0,Drinks
A&W® Root Beer,160,43,0,Drinks
A&W® Diet Root Beer,0,0,0,Drinks
Papa Burger®,690,44,39,Burgers
Crunchy Shrimp,340,34,19,Seafood
Chili Cheese Fries,410,52,17,French Fries
Oreo® Polar Swirl®,690,107,24,Desserts
A&W® Root Beer Freeze (small),370,68,8,Shakes
Chocolate Sundae,320,53,8,Desserts
Pineapple Banana Smoothee,750,160,10,Shakes
Chocolate Fudge Blendrrr,490,68,30,Desserts
Strawberry Limeade,230,58,0,Drinks
Cherry Slushee,570,141,0,Drinks
Lime Slushee,280,69,0,Drinks
A&W® Root Beer,270,72,0,Drinks
Applebee’s House Salad (without dressing),180,12,15,Salads
Baked Potato,430,42,28,Sides
"Boneless Wings, Southern BBQ",1110,83,55,Appetizers
"Bruschetta Chicken Salad, Half w/o dressing",580,40,30,Salads
Cheese Quesadilla Grande,1130,85,87,Appetizers
Chicken Fettuccine Carbonara,1440,107,82,Entrees
Chicken Tortilla Soup,140,12,7,Soups
Classic Club House Grill,1150,77,67,Sandwiches
"Crunchy Onion Rings, Side",530,63,28,Sides
French Onion Soup,260,16,14,Soups
Frozen Lemonades,255,64,0,Drinks
Grilled Shrimp ‘N Spinach Salad,260,20,15,Salads
"Grilled Steak Caesar, Half w/o dressing",230,11,10,Salads
House Sirloin,250,0,12,Entrees
Kids Grape Juice (6.75 oz),80,20,0,Kid's Meals
Kids Mini Hamburger – 1,390,23,27,Kid's Meals
Kids Vanilla Sundae with Hershey’s Syrup,330,49,14,Kid's Meals
Oriental Chicken Salad,420,25,29,Salads
"Pecan-Crusted Chicken Salad, Half",820,72,48,Salads
Queso Blanco,1330,114,82,Appetizers
"Santa Fe Chicken Salad, Regular w/o dressing",870,52,56,Salads
Sizzling Skillet Fajitas - Combo,1430,150,60,Entrees
Spinach & Artichoke Dip,1525,124,102,Appetizers
Teriyaki Chicken Pasta,450,73,8,Entrees
Trios Chicken Quesadilla Grande,650,44,47,Appetizers
Trios Spinach Artichoke Dip,560,41,39,Appetizers
Weight Watchers® Spicy Pineapple Glazed Shrimp & Spinach,310,48,5,Seafood
Applebee’s House Salad,180,12,15,Salads
Bacon Cheese Chicken Grill,750,50,33,Sandwiches
"Boneless Wings, Hot Buffalo",1170,67,69,Appetizers
"Bruschetta Chicken Salad, Half",740,45,44,Salads
California Turkey Club,970,60,55,Sandwiches
Chicken Fajita Rollup,560,45,41,Sandwiches
Chicken Tortilla Soup,180,18,8,Soups
Clam Chowder,290,16,20,Soups
Crunchy Onion Rings,1290,181,56,Appetizers
French Dip Sliders,590,50,36,Burgers
"Fries, Side",390,53,18,Kid's Meals
Grilled Dijon Chicken & Portobellos,470,30,16,Chicken
"Grilled Steak Caesar, Half",460,13,34,Salads
House Sirloin,310,0,13,Entrees
Kids Fried Shrimp,230,16,14,Kid's Meals
Kids Mini Cheeseburgers – 2,740,47,46,Kid's Meals
Kids Vanilla Sundae,230,24,14,Kid's Meals
Oriental Chicken Rollup,1160,121,60,Sandwiches
"Oriental Grilled Chicken Salad, Regular w/o dressing",590,58,19,Salads
Quesadilla Burger,1240,44,103,Burgers
"Santa Fe Chicken Salad, Regular",1240,58,93,Salads
Sizzling Skillet Fajitas - Chicken,1370,149,52,Entrees
Spicy Chili Cheese Nachos,1610,125,103,Appetizers
Stuffed Meatball Sandwich,1090,90,58,Sandwiches
Trios Cheeseburger Sliders,880,55,59,Appetizers
Trios Spicy Queso Blanco,520,40,33,Appetizers
